val_loss	val_accuracy	loss	accuracy
3.4303	0.4829	0.3622	0.8725
3.4939	0.4792	0.3955	0.8613
3.4012	0.4863	0.3787	0.8667
3.5007	0.4743	0.3625	0.8729
3.4746	0.4835	0.3638	0.8720
3.6326	0.4720	0.3572	0.8744
3.4908	0.4894	0.3525	0.8742
3.5092	0.4763	0.3536	0.8744
3.4974	0.4796	0.3532	0.8754
3.5846	0.4866	0.3523	0.8771
3.5152	0.4788	0.3572	0.8753
3.6546	0.4822	0.3589	0.8727
3.5222	0.4835	0.3606	0.8737
3.6371	0.4747	0.3740	0.8695
3.5696	0.4799	0.3620	0.8715
3.6329	0.4799	0.3451	0.8783
3.6008	0.4754	0.3362	0.8816
3.6150	0.4894	0.3322	0.8836
3.5834	0.4851	0.3402	0.8807
3.5952	0.4864	0.3374	0.8808
3.6479	0.4792	0.3600	0.8725
3.6133	0.4818	0.3480	0.8783
3.7103	0.4818	0.3282	0.8835
3.6726	0.4780	0.3329	0.8818
3.6632	0.4855	0.3488	0.8775
3.6627	0.4826	0.3369	0.8808
3.7180	0.4860	0.3358	0.8814
3.6633	0.4776	0.3156	0.8887
3.7751	0.4878	0.3161	0.8886
3.7687	0.4814	0.3283	0.8836
3.8175	0.4798	0.3219	0.8878
3.7441	0.4885	0.3405	0.8824
3.7964	0.4774	0.3302	0.8852
3.8310	0.4810	0.3134	0.8892
3.8382	0.4813	0.3468	0.8762
3.7980	0.4851	0.3317	0.8835
3.8251	0.4809	0.3102	0.8906
3.8364	0.4762	0.3223	0.8861
3.8898	0.4848	0.3182	0.8886
3.8476	0.4875	0.3127	0.8910
3.9078	0.4730	0.3131	0.8906
3.9057	0.4811	0.3061	0.8926
3.9564	0.4811	0.3053	0.8931
3.9647	0.4810	0.3254	0.8873
3.8788	0.4821	0.3329	0.8839
3.8923	0.4807	0.2993	0.8953
4.0061	0.4859	0.2942	0.8953
3.9879	0.4894	0.2949	0.8968
4.0547	0.4805	0.2962	0.8937
4.1245	0.4788	0.2820	0.9004
4.1382	0.4770	0.2905	0.8993
4.1093	0.4770	0.3358	0.8831
4.1305	0.4809	0.3129	0.8894
4.0458	0.4828	0.3056	0.8939
4.0539	0.4818	0.3180	0.8886
4.0112	0.4763	0.3069	0.8906
4.0234	0.4758	0.2911	0.8964
4.0704	0.4761	0.2997	0.8932
4.1108	0.4858	0.3018	0.8941
4.0923	0.4817	0.2974	0.8933
4.0525	0.4728	0.3077	0.8938
4.2566	0.4736	0.2875	0.9006
4.1139	0.4850	0.2810	0.9012
4.1659	0.4764	0.2787	0.9024
4.1407	0.4756	0.2855	0.8991
4.2212	0.4802	0.2737	0.9033
4.2382	0.4825	0.2898	0.8974
4.2045	0.4820	0.2709	0.9056
4.2727	0.4765	0.2918	0.8982
4.2495	0.4806	0.2838	0.9007
4.2837	0.4868	0.2595	0.9092
4.2823	0.4699	0.2874	0.8974
4.3458	0.4806	0.2866	0.8996
4.3689	0.4785	0.2878	0.8990
4.2340	0.4735	0.2938	0.8976
4.3000	0.4762	0.2652	0.9074
4.2970	0.4780	0.2731	0.9047
4.3803	0.4763	0.2698	0.9060
4.3716	0.4812	0.2561	0.9107
4.4075	0.4771	0.2912	0.8962
4.3527	0.4853	0.2677	0.9057
4.3521	0.4829	0.2689	0.9061
4.4475	0.4807	0.2614	0.9063
4.5040	0.4757	0.2709	0.9034
4.4381	0.4771	0.2545	0.9120
4.5524	0.4733	0.2738	0.9055
4.4386	0.4853	0.2701	0.9054
4.4578	0.4810	0.2621	0.9095
4.7437	0.4713	0.2520	0.9138
4.5174	0.4896	0.2835	0.9004
4.5047	0.4843	0.3003	0.8955
4.4778	0.4839	0.2535	0.9117
4.5545	0.4864	0.2377	0.9167
4.6421	0.4842	0.2461	0.9156
4.6529	0.4705	0.2813	0.9014
4.5141	0.4818	0.2763	0.9013
4.6244	0.4794	0.2367	0.9183
4.5949	0.4789	0.2437	0.9163
4.7958	0.4869	0.2346	0.9181
4.6071	0.4806	0.2606	0.9098
4.7551	0.4723	0.2455	0.9146
4.6863	0.4718	0.2604	0.9092
4.7803	0.4794	0.2470	0.9130
4.6365	0.4839	0.2671	0.9066
4.6835	0.4780	0.2771	0.9019
4.6922	0.4761	0.2560	0.9092
4.7122	0.4814	0.2539	0.9114
4.7916	0.4766	0.2349	0.9186
4.6657	0.4845	0.2180	0.9260
4.7701	0.4799	0.2201	0.9231
4.9232	0.4800	0.2302	0.9199
4.8538	0.4707	0.2743	0.9048
4.6123	0.4771	0.3031	0.8950
4.7628	0.4767	0.2539	0.9113
4.7923	0.4758	0.2176	0.9238
4.8307	0.4799	0.2073	0.9292
4.8298	0.4784	0.2312	0.9186
4.8584	0.4812	0.2287	0.9209
4.9407	0.4819	0.2063	0.9293
4.9620	0.4722	0.2470	0.9157
4.6986	0.4758	0.2815	0.9032
4.8725	0.4810	0.2522	0.9128
4.8579	0.4819	0.2295	0.9197
4.9118	0.4816	0.2128	0.9272
4.9386	0.4786	0.2314	0.9178
5.0430	0.4755	0.2063	0.9290
5.0761	0.4696	0.2309	0.9185
5.2542	0.4718	0.2450	0.9138
5.0156	0.4776	0.2218	0.9229
5.0802	0.4763	0.1958	0.9317
5.1346	0.4849	0.1967	0.9311
5.1643	0.4815	0.2141	0.9249
5.1597	0.4736	0.2553	0.9121
5.0867	0.4789	0.2975	0.8995
5.0624	0.4674	0.2591	0.9096
5.0188	0.4733	0.2321	0.9197
5.1630	0.4852	0.1901	0.9341
5.0867	0.4757	0.2233	0.9242
5.1720	0.4825	0.2078	0.9284
5.2126	0.4787	0.2253	0.9216
5.1594	0.4724	0.2485	0.9137
5.1415	0.4787	0.2331	0.9178
5.2005	0.4760	0.1879	0.9338
5.2742	0.4781	0.1893	0.9357
5.2060	0.4775	0.1802	0.9377
5.3914	0.4720	0.2080	0.9286
5.2041	0.4749	0.2555	0.9122
5.2068	0.4790	0.2084	0.9280
5.3203	0.4817	0.1883	0.9352
5.1994	0.4816	0.2125	0.9259
5.3402	0.4730	0.2291	0.9231
5.3424	0.4698	0.2371	0.9177
5.2648	0.4787	0.2271	0.9213
5.4040	0.4749	0.2084	0.9271
5.3587	0.4744	0.2126	0.9272
5.3560	0.4778	0.1957	0.9329
5.2861	0.4773	0.2029	0.9290
5.5049	0.4797	0.1666	0.9446
5.5580	0.4734	0.1800	0.9375
5.4209	0.4808	0.2134	0.9274
5.4123	0.4780	0.2169	0.9260
5.2148	0.4809	0.3092	0.8962
5.3451	0.4794	0.2243	0.9222
5.2222	0.4805	0.2316	0.9209
5.3243	0.4758	0.2165	0.9261
5.3311	0.4731	0.1872	0.9359
5.4150	0.4852	0.1929	0.9335
5.4677	0.4797	0.1754	0.9394
5.5327	0.4816	0.1994	0.9323
5.5303	0.4663	0.2180	0.9252
5.3495	0.4793	0.2391	0.9182
5.5383	0.4742	0.1939	0.9332
5.6929	0.4759	0.1681	0.9423
5.5072	0.4803	0.1740	0.9410
5.5644	0.4765	0.1975	0.9317
5.5983	0.4799	0.1811	0.9374
5.6119	0.4803	0.1989	0.9327
5.6919	0.4821	0.1856	0.9366
5.7046	0.4724	0.1932	0.9340
5.6156	0.4706	0.2522	0.9147
5.5162	0.4754	0.1890	0.9367
5.6256	0.4759	0.2004	0.9310
5.6601	0.4745	0.1660	0.9426
5.8090	0.4742	0.1409	0.9527
5.8855	0.4776	0.1573	0.9466
5.7959	0.4759	0.1880	0.9371
5.7986	0.4775	0.2327	0.9219
5.5339	0.4693	0.3049	0.9000
5.4961	0.4764	0.2154	0.9258
5.6961	0.4723	0.1672	0.9411
5.7237	0.4731	0.1369	0.9556
5.7559	0.4811	0.1753	0.9404
5.9055	0.4723	0.1658	0.9426
5.8226	0.4811	0.1437	0.9526
5.8337	0.4768	0.2089	0.9301
5.8075	0.4758	0.2003	0.9306
5.8334	0.4799	0.1821	0.9371
5.8854	0.4742	0.1642	0.9447
6.0385	0.4718	0.1368	0.9543
6.0712	0.4740	0.1734	0.9410
5.8985	0.4591	0.2300	0.9211
6.1885	0.4665	0.2250	0.9238
6.2508	0.4568	0.2212	0.9250
5.6934	0.4765	0.2402	0.9184
5.7226	0.4781	0.2003	0.9305
5.7873	0.4749	0.1565	0.9471
5.8667	0.4814	0.1385	0.9535
5.9720	0.4809	0.1232	0.9590
6.0699	0.4802	0.0949	0.9704
6.2033	0.4803	0.1138	0.9620
6.1618	0.4812	0.1195	0.9608
6.1218	0.4780	0.1844	0.9385
6.2994	0.4684	0.1585	0.9471
5.8855	0.4598	0.3791	0.8850
5.5825	0.4746	0.2635	0.9115
5.6719	0.4747	0.1962	0.9332
5.8808	0.4779	0.1466	0.9497
6.0409	0.4735	0.1232	0.9605
6.0842	0.4797	0.0993	0.9692
6.1908	0.4773	0.0922	0.9721
6.3241	0.4769	0.0937	0.9714
6.4009	0.4735	0.1149	0.9628
6.4891	0.4732	0.1439	0.9520
5.9680	0.4715	0.2575	0.9164
6.0181	0.4780	0.2426	0.9185
6.0111	0.4788	0.1943	0.9332
6.0852	0.4743	0.1714	0.9426
6.1154	0.4801	0.1451	0.9507
6.1091	0.4675	0.2314	0.9223
6.0999	0.4743	0.1724	0.9399
6.2057	0.4786	0.1651	0.9456
6.2416	0.4775	0.1468	0.9505
6.1183	0.4735	0.1712	0.9424
6.2902	0.4720	0.1388	0.9521
6.3221	0.4753	0.1056	0.9668
6.6142	0.4716	0.1189	0.9610
6.2469	0.4733	0.2205	0.9299
6.2281	0.4649	0.3184	0.8983
6.0323	0.4764	0.1893	0.9347
6.0511	0.4775	0.1781	0.9396
6.2213	0.4752	0.1092	0.9645
6.3481	0.4770	0.0920	0.9716
6.4496	0.4806	0.0751	0.9779
6.6654	0.4839	0.0669	0.9815
6.7286	0.4737	0.0686	0.9811
6.7899	0.4698	0.0994	0.9703
6.6618	0.4669	0.2123	0.9311
6.0996	0.4634	0.3644	0.8883
